CAMPUS,C000A002G16R,C200A002G16R,C2408FR16R,C300A002G16R,C3408FR16R,C400A002G16R,C4408FR16R,CA00A002G16R,CA408FR16R,CB00A002G16R,CB408FR16R,CE00A002G16R,CE408FR16R,CF00A002G16R,CF408FR16R,CH00A002G16R,CH408FR16R,CI00A002G16R,CI408FR16R,CL408FR16R,CM00A002G16R,CM408FR16R,CR00A002G16R,CR408FR16R,CS00A002G16R,CS408FR16R,CW00A002G16R,CW408FR16R
18908001,-1,-1,-1,.,.,.,.,55,29,.,.,50,-1,50,-1,50,-1,.,.,-1,60,-1,59,31,-1,-1,60,-1
19901001,-1,-1,.,.,.,.,.,-1,.,-1,.,-1,.,55,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
19901041,61,-1,-1,.,.,.,.,62,28,-1,-1,57,24,64,36,65,-1,-1,-1,-1,60,20,66,33,67,-1,64,31
19901102,-1,-1,-1,.,.,.,.,60,-1,80,-1,59,-1,70,-1,-1,-1,.,.,-1,52,-1,-1,-1,-1,-1,48,-1
19902002,-1,-1,.,.,.,.,.,55,.,-1,.,53,.,63,.,-1,.,.,.,.,49,.,46,.,-1,.,54,.
19902041,-1,76,-1,.,.,.,.,67,37,-1,-1,71,41,71,-1,84,-1,-1,.,-1,64,39,70,35,-1,-1,65,46
19902102,.,-1,.,.,.,.,.,64,-1,-1,-1,66,-1,71,-1,-1,.,.,.,.,60,-1,50,-1,-1,-1,67,-1
19903001,.,-1,.,.,.,.,.,50,29,-1,-1,48,36,53,-1,-1,.,-1,.,.,48,-1,48,-1,-1,-1,50,-1
19905001,.,-1,.,.,.,.,.,36,.,-1,.,-1,.,38,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,42,.
19905041,-1,-1,-1,-1,.,-1,.,52,24,48,29,49,17,53,30,65,-1,.,.,-1,52,19,52,23,-1,20,52,18
19905101,-1,-1,-1,.,.,.,.,52,26,61,26,51,25,54,21,50,-1,.,.,-1,51,32,55,25,49,22,49,28
19905103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19906001,.,-1,.,.,.,.,.,-1,.,-1,.,-1,.,50,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
19906002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19906041,-1,-1,-1,-1,-1,.,.,69,30,-1,-1,63,-1,71,-1,-1,.,.,.,-1,66,31,67,24,69,-1,69,25
19906101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19906102,.,-1,-1,.,.,.,.,69,36,-1,-1,68,40,74,39,-1,.,-1,-1,.,64,35,67,36,-1,-1,69,40
19907002,-1,-1,.,-1,.,.,.,47,.,36,.,40,.,52,.,-1,.,-1,.,.,42,.,-1,.,-1,.,60,.
19907003,.,-1,.,.,.,.,.,-1,.,.,.,-1,.,30,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.
19907042,58,61,-1,78,-1,-1,.,59,25,55,21,55,24,61,24,57,31,-1,.,-1,57,26,57,25,61,18,63,40
19907105,73,-1,-1,.,.,.,.,71,42,70,-1,70,39,79,-1,75,-1,.,.,-1,65,37,75,42,-1,-1,-1,-1
19907107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19907108,75,.,.,.,.,.,.,61,22,58,19,61,22,57,21,77,-1,.,.,-1,64,24,57,19,60,-1,-1,-1
19907109,72,-1,-1,-1,-1,.,.,68,42,67,-1,65,44,68,50,69,-1,.,.,-1,68,38,71,42,69,-1,68,-1
19907111,-1,-1,.,-1,.,.,.,69,33,69,-1,68,36,70,42,80,-1,-1,-1,-1,68,29,67,41,-1,-1,61,63
19907113,-1,66,-1,-1,-1,.,.,69,36,72,18,70,35,72,44,63,-1,.,.,-1,65,31,72,39,64,-1,67,70
19907115,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19907116,.,90,.,-1,.,.,.,81,-1,-1,.,78,-1,84,-1,-1,-1,-1,.,.,77,.,-1,-1,-1,.,80,.
19908001,.,-1,.,.,.,.,.,45,.,-1,.,45,.,45,.,-1,.,.,.,.,-1,.,-1,.,-1,.,44,.
19908002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19908041,-1,69,-1,.,.,-1,-1,59,30,58,23,58,29,60,28,64,-1,.,.,-1,58,31,59,30,64,15,59,44
19908101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19908102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19908103,-1,-1,.,-1,-1,.,.,41,19,43,-1,39,-1,41,-1,-1,-1,.,.,.,40,21,36,18,50,-1,39,-1
19909001,.,-1,.,.,.,.,.,-1,.,.,.,-1,.,64,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
19909041,.,-1,-1,.,.,.,.,58,23,.,.,56,-1,57,-1,-1,-1,-1,.,.,59,-1,52,23,-1,-1,58,-1
19909101,.,-1,-1,.,.,.,.,72,25,.,.,72,-1,69,-1,-1,.,-1,.,.,75,-1,78,28,-1,-1,72,26
19910101,.,90,-1,.,.,.,.,88,-1,.,.,83,-1,91,-1,-1,.,-1,.,.,86,-1,93,-1,80,-1,86,-1
19911041,-1,-1,-1,-1,.,.,.,67,42,-1,.,-1,-1,66,-1,-1,-1,-1,.,-1,69,-1,62,45,-1,-1,68,-1
19911101,.,-1,.,.,.,.,.,55,-1,.,.,-1,-1,62,-1,-1,.,-1,.,.,-1,-1,-1,-1,-1,-1,54,-1
19912001,-1,-1,.,-1,.,-1,.,41,.,-1,.,-1,.,46,.,-1,.,-1,.,.,36,.,-1,.,-1,.,45,.
19912041,-1,-1,-1,82,.,-1,.,61,32,56,-1,56,33,59,42,53,-1,-1,.,.,63,27,61,32,-1,-1,62,33
19912102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
19912200,66,-1,-1,69,-1,-1,.,64,61,64,-1,61,58,64,67,59,-1,-1,.,-1,63,56,69,62,59,-1,63,80
19913101,-1,-1,-1,.,.,.,.,59,-1,.,.,-1,-1,63,-1,-1,-1,.,.,-1,54,-1,67,-1,75,-1,59,-1
19914101,.,-1,.,.,.,.,.,49,36,-1,-1,61,-1,54,-1,-1,.,.,.,.,45,-1,56,36,-1,-1,47,38
20901001,-1,-1,.,-1,.,-1,.,47,.,51,.,44,.,50,.,45,.,-1,.,.,44,.,40,.,30,.,49,.
20901002,33,-1,.,64,.,-1,.,53,.,54,.,48,.,57,.,50,.,-1,.,.,49,.,44,.,-1,.,49,.
20901004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20901005,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,21,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
20901041,43,-1,-1,-1,.,.,.,55,26,52,-1,54,25,57,34,55,30,-1,-1,26,54,20,52,27,53,9,56,19
20901042,45,-1,-1,54,-1,.,.,49,28,39,31,50,28,52,38,51,27,-1,.,14,46,20,51,29,49,12,57,29
20901043,49,-1,.,-1,-1,.,.,55,28,-1,-1,53,25,54,38,53,30,-1,-1,25,55,21,54,28,53,12,60,26
20901045,70,80,.,75,-1,-1,.,67,40,59,41,59,42,67,44,62,37,-1,-1,45,67,38,61,42,55,23,72,-1
20901046,53,51,-1,58,-1,.,.,54,24,-1,-1,53,24,57,27,53,29,-1,.,24,51,22,50,24,48,9,56,13
20901047,56,53,-1,72,-1,-1,.,59,30,59,35,59,27,61,33,59,24,-1,.,15,57,27,61,30,59,8,58,33
20901101,62,-1,-1,71,71,.,.,67,35,-1,-1,66,30,67,43,64,29,-1,-1,23,68,30,66,34,63,-1,72,39
20901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20901103,68,-1,.,-1,.,.,.,71,43,.,.,70,40,71,40,71,35,.,.,-1,72,46,70,42,58,25,72,75
20901104,-1,-1,-1,-1,-1,.,.,61,36,-1,-1,61,32,56,38,62,36,.,.,-1,65,33,64,37,66,-1,61,29
20901105,60,100,.,68,-1,.,.,77,36,83,-1,70,39,80,42,70,39,-1,-1,-1,74,31,75,33,85,-1,79,31
20901106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20901107,69,-1,-1,-1,.,.,.,73,40,60,-1,73,37,72,43,74,37,-1,.,28,75,38,72,41,55,-1,73,42
20901108,67,-1,.,-1,.,.,.,64,38,-1,-1,60,35,64,-1,66,43,-1,-1,-1,64,45,66,36,58,29,63,35
20901109,74,-1,.,-1,.,.,.,73,33,-1,-1,74,27,69,-1,75,27,-1,.,-1,76,40,75,30,73,-1,67,50
20901110,73,-1,-1,62,-1,.,.,69,46,60,62,68,39,68,52,73,39,-1,.,45,70,41,72,50,33,-1,67,-1
20901111,75,-1,-1,79,-1,.,.,71,29,61,32,65,41,76,24,68,-1,.,.,-1,65,35,73,30,-1,-1,75,-1
20901112,79,-1,-1,79,-1,.,.,75,40,65,-1,71,-1,77,-1,81,-1,-1,.,-1,72,40,75,39,44,-1,77,-1
20901113,65,64,-1,82,-1,.,.,65,36,58,32,65,35,68,48,68,41,-1,-1,30,62,26,68,38,-1,-1,68,-1
20901114,73,-1,.,77,-1,.,.,71,41,66,-1,68,29,67,45,66,41,.,.,45,75,38,75,38,74,-1,74,-1
20901115,77,75,.,82,.,.,.,75,34,73,26,75,27,75,35,76,37,.,.,37,76,33,77,30,-1,-1,71,-1
20902001,-1,-1,.,-1,.,.,.,44,.,-1,.,39,.,47,.,41,.,-1,.,.,42,.,34,.,-1,.,53,.
20902002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20902003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20902004,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.
20902044,50,49,-1,-1,.,-1,.,55,30,57,27,55,29,58,30,54,33,-1,.,20,52,30,53,29,53,16,56,25
20902102,-1,-1,-1,.,.,.,.,63,38,-1,-1,61,28,68,43,69,-1,-1,.,.,57,-1,56,33,79,-1,59,56
20902103,-1,-1,-1,-1,-1,.,.,58,56,-1,-1,54,45,62,45,49,43,.,.,-1,55,63,61,54,-1,-1,64,75
20902104,66,-1,-1,.,.,.,.,70,49,68,-1,69,49,70,35,70,50,-1,.,49,70,62,68,49,54,-1,72,56
20902108,-1,-1,.,.,.,.,.,72,67,100,.,66,70,70,-1,66,-1,.,.,.,73,75,71,67,-1,-1,73,83
20902109,-1,-1,.,.,.,.,.,77,73,77,-1,76,75,76,71,80,82,.,.,-1,78,75,75,69,80,-1,73,-1
20902110,-1,-1,.,.,.,.,.,67,39,-1,-1,67,44,62,-1,71,-1,-1,-1,.,70,31,66,42,-1,-1,63,-1
20904001,-1,-1,.,.,.,.,.,-1,.,.,.,-1,.,26,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
20904041,-1,-1,.,.,.,.,.,64,50,-1,-1,60,-1,69,64,-1,-1,-1,.,-1,59,40,59,55,-1,-1,63,50
20904101,73,-1,-1,-1,.,.,.,69,57,-1,-1,70,53,68,-1,69,71,-1,.,-1,71,64,74,57,-1,-1,70,54
20905001,-1,-1,.,.,.,.,.,41,.,-1,.,39,.,46,.,40,.,-1,.,.,-1,.,34,.,-1,.,-1,.
20905002,-1,-1,.,-1,.,-1,.,49,.,-1,.,40,.,51,.,42,.,-1,.,.,47,.,38,.,33,.,57,.
20905004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20905006,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,25,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
20905041,56,74,-1,-1,-1,.,.,57,29,55,22,57,26,58,35,57,29,-1,-1,21,56,25,59,29,59,11,56,33
20905042,67,-1,-1,-1,.,-1,.,68,37,63,23,68,36,71,41,70,38,-1,-1,29,66,34,69,37,68,26,66,48
20905043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20905101,-1,-1,-1,-1,.,.,.,55,30,-1,-1,50,-1,51,-1,53,-1,-1,-1,-1,59,26,53,28,-1,-1,57,50
20905102,50,-1,-1,-1,.,.,.,68,32,-1,.,61,-1,73,47,59,-1,.,.,-1,63,-1,67,32,-1,-1,77,-1
20905104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20905106,46,-1,.,-1,.,.,.,43,12,-1,-1,42,12,47,-1,45,-1,-1,.,-1,41,-1,46,12,-1,-1,-1,-1
20905107,-1,-1,-1,.,.,.,.,54,21,-1,-1,46,-1,55,-1,51,-1,.,.,-1,53,-1,54,21,-1,-1,57,-1
20905108,86,-1,.,.,.,.,.,47,-1,-1,-1,48,-1,43,-1,53,-1,.,.,-1,52,-1,59,-1,-1,-1,-1,-1
20905109,-1,-1,-1,-1,.,.,.,65,44,64,-1,55,42,69,-1,63,-1,-1,.,.,60,-1,-1,-1,-1,-1,67,-1
20905110,58,.,.,.,.,.,.,55,26,-1,-1,55,24,52,25,58,38,.,.,56,58,27,52,26,44,-1,-1,-1
20905111,-1,-1,.,-1,.,.,.,65,-1,-1,.,59,-1,55,-1,53,-1,-1,-1,.,72,-1,56,-1,-1,-1,70,-1
20905113,53,-1,.,-1,.,.,.,60,-1,-1,-1,53,-1,58,-1,55,-1,-1,-1,-1,61,-1,52,-1,-1,-1,74,.
20905114,63,-1,-1,.,.,.,.,61,-1,.,.,63,-1,65,-1,61,-1,.,.,-1,59,-1,58,-1,-1,-1,70,-1
20905115,57,70,-1,81,.,.,.,60,25,56,-1,58,21,61,32,58,20,-1,-1,-1,60,21,60,20,57,-1,61,32
20905116,60,-1,-1,.,.,.,.,65,23,-1,-1,64,23,66,28,65,26,.,.,27,63,19,62,24,55,-1,70,27
20906002,-1,-1,.,.,.,.,.,43,.,-1,.,-1,.,48,.,-1,.,-1,.,.,38,.,-1,.,-1,.,47,.
20906041,-1,-1,.,-1,-1,-1,-1,63,38,58,35,60,42,65,46,60,52,-1,.,-1,61,28,59,37,50,22,65,33
20906104,63,69,-1,.,.,.,.,65,44,67,42,63,31,70,41,65,41,-1,.,-1,61,46,67,42,-1,-1,64,43
20907001,-1,-1,.,-1,.,.,.,47,.,-1,.,-1,.,56,.,-1,.,.,.,.,40,.,39,.,-1,.,49,.
20907042,50,-1,-1,-1,.,.,.,57,39,47,27,55,35,64,55,69,46,-1,.,-1,50,28,54,38,-1,-1,54,40
20907102,67,-1,-1,.,.,.,.,70,35,76,-1,68,35,70,33,64,36,-1,-1,-1,70,36,70,33,59,36,72,44
20907106,-1,-1,.,.,.,.,.,65,26,-1,-1,66,-1,67,28,63,-1,-1,.,-1,62,24,67,24,-1,-1,65,33
20907107,60,-1,-1,.,.,.,.,58,27,50,36,56,30,59,39,55,17,.,.,-1,57,20,63,27,-1,-1,62,30
20908001,-1,-1,.,-1,.,-1,.,53,.,49,.,46,.,58,.,44,.,-1,.,.,48,.,41,.,25,.,61,.
20908002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20908004,-1,.,.,.,.,.,.,-1,.,.,.,-1,.,50,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
20908007,32,-1,.,72,.,-1,.,54,.,46,.,41,.,58,.,49,.,-1,.,.,51,.,33,.,-1,.,56,.
20908009,-1,-1,.,69,.,.,.,53,.,-1,.,53,.,56,.,52,.,-1,.,.,50,.,-1,.,-1,.,52,.
20908041,-1,76,-1,82,-1,-1,.,72,60,71,67,70,53,77,75,70,48,-1,.,-1,67,48,71,60,72,40,72,64
20908042,62,63,-1,85,-1,-1,.,69,50,68,47,66,51,74,58,66,54,-1,-1,43,66,45,62,50,63,34,68,41
20908043,58,69,-1,74,-1,-1,-1,64,39,60,31,60,37,65,31,61,49,80,-1,35,62,42,60,39,67,30,67,27
20908044,66,69,-1,87,-1,-1,.,75,51,70,61,67,50,79,63,69,52,-1,.,-1,72,46,60,48,63,41,76,41
20908101,68,-1,.,88,-1,.,.,59,41,34,-1,59,55,64,73,61,35,-1,.,54,53,-1,62,42,54,-1,65,-1
20908102,86,-1,.,72,-1,.,.,73,61,71,-1,75,83,74,-1,80,71,-1,.,.,73,70,77,59,67,-1,72,-1
20908103,83,-1,-1,89,.,.,.,70,-1,79,.,64,-1,67,-1,74,-1,.,.,.,73,-1,75,-1,-1,-1,67,-1
20908104,73,-1,.,88,.,.,.,77,37,80,36,71,40,82,56,72,33,.,.,50,73,-1,73,39,68,-1,81,-1
20908105,66,64,-1,77,-1,-1,.,72,39,72,33,67,33,70,38,68,40,-1,.,39,74,41,66,39,73,14,76,34
20908106,75,75,-1,84,-1,.,.,70,52,62,-1,65,50,78,-1,65,-1,.,.,-1,64,58,70,58,54,-1,68,-1
20908107,81,75,-1,100,.,.,.,86,67,85,-1,88,-1,89,-1,86,-1,.,.,-1,83,-1,85,70,88,-1,85,-1
20908108,57,80,-1,83,-1,-1,.,70,22,69,-1,59,18,70,27,60,22,-1,-1,18,69,18,57,21,66,-1,75,-1
20908109,75,-1,.,83,-1,.,.,70,45,57,-1,50,-1,73,-1,72,-1,.,.,-1,67,-1,76,56,71,-1,72,-1
20908110,79,-1,.,89,-1,.,.,80,-1,68,-1,-1,-1,80,-1,76,-1,-1,.,-1,79,-1,83,-1,-1,-1,80,-1
20908111,70,61,-1,82,100,.,.,71,40,63,-1,62,37,71,38,65,35,-1,.,67,70,40,61,40,69,16,72,50
20908112,77,-1,.,82,-1,.,.,71,-1,55,-1,69,-1,71,-1,70,-1,.,.,-1,71,-1,68,-1,-1,-1,75,-1
20908113,56,-1,.,76,-1,.,.,60,44,75,-1,58,-1,60,-1,56,-1,.,.,-1,60,-1,59,44,-1,-1,58,-1
20908114,73,-1,-1,-1,.,.,.,76,-1,81,-1,78,-1,77,-1,76,-1,-1,.,-1,75,-1,73,-1,-1,-1,74,-1
20908115,77,87,.,81,-1,.,.,69,39,64,-1,69,40,70,41,66,44,-1,.,-1,68,38,64,38,69,31,69,44
20910101,53,-1,.,.,.,.,.,48,33,-1,.,48,33,49,38,54,38,.,.,-1,47,-1,50,33,-1,-1,-1,-1
21803001,-1,-1,-1,.,.,.,.,51,23,-1,-1,53,25,50,-1,55,-1,.,.,-1,-1,-1,50,24,-1,-1,-1,-1
21803102,-1,-1,-1,.,.,.,.,50,42,50,40,50,42,51,-1,-1,-1,.,.,-1,50,-1,52,46,-1,-1,-1,.
21803104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21805002,-1,-1,-1,.,.,.,.,69,-1,70,-1,68,-1,58,-1,-1,-1,.,.,-1,81,-1,72,-1,-1,-1,-1,.
21805041,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,.,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,.,.
21805101,-1,.,.,.,.,.,.,56,-1,57,-1,45,-1,58,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.
21805102,-1,.,.,.,.,.,.,55,-1,-1,-1,55,-1,50,-1,-1,-1,.,.,.,-1,-1,53,-1,-1,-1,.,.
21805105,-1,.,.,.,.,.,.,70,-1,65,-1,75,-1,76,-1,-1,.,-1,.,.,62,-1,73,-1,-1,.,-1,.
21901001,44,-1,.,62,.,.,.,55,.,43,.,51,.,56,.,51,.,-1,.,.,54,.,43,.,43,.,60,.
21901002,.,.,.,.,.,.,.,-1,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,-1,.
21901003,-1,-1,.,-1,.,-1,.,67,.,-1,.,66,.,71,.,70,.,.,.,.,62,.,67,.,-1,.,65,.
21901041,70,74,-1,85,-1,.,.,72,38,64,26,64,21,73,48,66,32,-1,.,-1,70,31,69,36,61,23,72,54
21901042,63,71,-1,78,-1,.,.,69,34,59,31,63,30,71,29,68,36,-1,-1,26,67,38,64,32,53,10,71,33
21901101,64,-1,.,90,-1,.,.,64,32,54,-1,61,29,62,-1,58,-1,.,.,-1,65,42,62,-1,-1,-1,67,-1
21901102,78,-1,.,86,-1,.,.,76,43,89,-1,74,45,78,44,75,54,.,.,62,74,-1,78,53,-1,-1,69,-1
21901104,71,-1,.,100,.,.,.,73,-1,67,-1,69,-1,78,-1,70,-1,-1,.,-1,71,-1,73,-1,-1,-1,77,-1
21901105,80,-1,.,81,-1,-1,.,73,-1,79,-1,71,-1,77,-1,68,-1,.,.,-1,70,-1,78,-1,-1,-1,69,-1
21901107,-1,-1,-1,88,.,.,.,73,-1,-1,-1,57,-1,76,-1,-1,-1,.,.,.,69,-1,-1,-1,-1,-1,73,-1
21901108,79,-1,.,86,.,.,.,76,36,70,-1,63,-1,72,50,73,-1,-1,-1,-1,79,-1,72,-1,58,-1,77,-1
21901109,-1,-1,.,-1,-1,.,.,60,32,47,-1,51,28,60,33,-1,-1,.,.,-1,60,-1,59,33,-1,-1,61,55
21901110,61,-1,.,-1,.,.,.,75,45,-1,.,59,-1,75,-1,79,-1,-1,.,-1,75,-1,63,-1,63,-1,79,-1
21901111,85,-1,.,75,.,.,.,69,-1,.,.,-1,-1,67,-1,-1,-1,.,.,.,74,.,-1,-1,-1,-1,68,.
21901201,53,66,71,75,70,.,.,61,30,48,15,53,17,62,33,51,17,-1,.,15,59,28,51,13,54,-1,69,58
21901202,70,55,-1,79,100,.,.,63,56,55,33,55,33,62,56,57,46,-1,.,88,63,55,58,43,61,31,64,62
21902001,30,-1,.,-1,.,.,.,41,.,40,.,36,.,43,.,34,.,.,.,.,40,.,33,.,-1,.,55,.
21902002,-1,-1,.,-1,.,.,.,30,.,-1,.,-1,.,31,.,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.
21902003,-1,-1,.,-1,.,.,.,74,.,-1,.,73,.,74,.,72,.,.,.,.,73,.,63,.,-1,.,82,.
21902012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21902014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21902015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
21902017,-1,.,.,.,.,.,.,-1,.,-1,.,-1,.,33,.,-1,.,.,.,.,-1,.,-1,.,.,.,-1,.
21902041,53,-1,-1,-1,.,-1,-1,61,29,58,24,57,26,63,34,59,29,-1,-1,20,60,23,57,28,60,13,69,36
21902045,52,-1,-1,-1,-1,-1,.,59,24,52,16,56,24,60,30,59,27,.,.,25,59,19,52,23,51,-1,67,-1
21902046,57,-1,-1,-1,-1,.,.,59,26,58,25,56,23,62,29,57,23,-1,.,15,57,24,57,25,44,13,64,44
21902047,50,-1,-1,.,.,.,.,54,35,48,34,53,32,56,46,53,33,-1,.,36,52,24,51,35,43,14,62,38
21902101,67,-1,.,.,.,.,.,58,25,-1,38,58,25,57,32,64,-1,.,.,-1,60,-1,64,25,56,-1,-1,-1
21902103,68,67,-1,.,.,.,.,63,44,54,-1,63,42,63,76,63,42,-1,.,-1,63,25,66,43,71,-1,65,54
21902105,81,-1,-1,.,.,.,.,69,46,55,-1,70,44,66,-1,74,56,.,.,56,73,50,77,46,75,-1,75,-1
21902106,70,-1,-1,.,.,.,.,75,44,87,-1,74,43,73,47,72,46,.,.,-1,77,40,76,44,-1,-1,78,-1
21902107,54,-1,-1,-1,.,.,.,57,38,66,-1,56,39,56,36,54,34,.,.,30,59,41,56,37,52,-1,68,-1
21902108,75,60,-1,.,.,.,.,56,36,-1,-1,54,-1,53,-1,52,-1,.,.,-1,60,-1,60,36,-1,-1,62,-1
21902109,83,-1,.,.,.,.,.,82,54,64,-1,82,54,83,41,83,55,.,.,59,81,62,82,53,70,36,-1,.
21902110,83,-1,.,-1,.,.,.,68,50,-1,-1,69,53,60,-1,67,50,.,.,-1,76,42,73,50,-1,-1,71,-1
21902112,-1,-1,-1,.,.,.,.,66,43,68,-1,70,43,66,73,72,-1,.,.,-1,66,26,71,46,83,-1,63,-1
21902113,62,-1,.,.,.,.,.,63,35,67,54,62,33,57,26,62,26,-1,.,29,68,41,64,32,60,-1,-1,-1
21902114,-1,-1,-1,-1,.,.,.,56,19,56,21,53,19,59,26,58,-1,.,.,-1,54,14,52,17,43,-1,57,-1
21902115,76,-1,.,.,.,.,.,76,47,78,33,76,48,76,56,75,52,.,.,54,75,39,78,47,67,-1,73,-1
21902117,-1,-1,-1,.,.,.,.,59,33,57,-1,56,33,60,-1,60,-1,.,.,-1,59,-1,61,35,-1,-1,59,-1
21902118,64,-1,.,.,.,.,.,66,48,63,42,66,49,67,45,67,52,-1,.,64,64,52,65,48,96,60,-1,-1
21902119,55,-1,-1,-1,.,.,.,57,20,51,-1,56,17,57,-1,61,-1,.,.,-1,56,-1,60,20,68,-1,56,-1
22004001,51,.,.,.,.,.,.,56,-1,.,.,60,-1,62,-1,56,-1,-1,.,-1,-1,-1,53,-1,-1,-1,-1,.
22901001,-1,.,.,-1,.,.,.,-1,.,.,.,-1,.,57,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
22901041,65,-1,-1,-1,.,.,.,68,22,-1,-1,69,25,70,31,68,22,.,.,-1,66,16,64,20,60,24,67,-1
22901101,47,.,.,.,.,.,.,54,46,.,.,54,53,55,55,54,45,.,.,-1,54,38,51,43,-1,-1,54,-1
22902001,.,.,.,.,.,.,.,73,-1,.,.,-1,-1,67,-1,-1,-1,.,.,.,-1,.,-1,.,-1,.,-1,.
22903101,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,83,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.,-1,-1
23902001,-1,-1,.,.,.,.,.,58,-1,.,.,52,-1,68,-1,57,-1,.,.,-1,52,-1,-1,-1,-1,-1,58,-1
24901001,-1,.,.,.,.,.,.,57,.,-1,.,55,.,58,.,57,.,.,.,.,55,.,51,.,-1,.,-1,.
24901041,-1,-1,.,.,.,.,.,58,34,.,.,56,32,58,43,58,34,-1,.,-1,59,26,57,34,-1,-1,-1,.
24901101,75,.,.,.,.,.,.,65,45,.,.,63,44,66,50,65,45,.,.,-1,64,41,67,45,64,-1,-1,.
24901103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
25901001,-1,-1,.,.,.,.,.,56,.,-1,.,-1,.,53,.,-1,.,-1,.,.,59,.,-1,.,-1,.,56,.
25901041,-1,-1,.,.,.,.,.,63,33,-1,-1,63,26,61,40,66,44,.,.,-1,66,29,66,34,-1,-1,62,22
25901101,-1,.,.,.,.,.,.,46,-1,-1,.,47,-1,44,-1,55,-1,.,.,.,49,-1,-1,-1,-1,-1,44,-1
25902001,-1,-1,.,-1,.,.,.,30,.,-1,.,28,.,31,.,-1,.,-1,.,.,30,.,-1,.,-1,.,-1,.
25902003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
